order_id,customer_id,zone,cuisine,order_time,delivered_time,distance_km,prep_min,subtotal,discount,delivery_fee,payment_type,weather,rating
920013,60849,ช้างคลาน,กาแฟ,04 Jun 2025 10:31,2025-06-04 10:41:30,,7.1,฿118,15,23,โอนผ่านแอป,ปกติ,5
923730,58745,ช้างคลาน,ปิ้งย่าง,2025-04-21 13:36:00,2025-04-21 13:52:54,3.46,12.6,฿264,26,31,บัตรเครดิต,ปกติ,5
903172,61927,สันกำแพง,ข้าวซอย,2025-06-16 12:32:00,2025-06-16 13:10:18,20.01,10.8,฿35,0,80,เงินสด,ปกติ,3
901572,56491,นิมมาน,ตามสั่ง,2025-04-02 18:46:00,2025-04-02 19:07:18,3.37,14.2,฿35,0,30,โอนผ่านแอป,ปกติ,5
905559,56295,สันทราย,ญี่ปุ่น,17/06/2025 10:27,2025-06-17 10:46:42,8.9,7.5,฿277,0,40,บัตรเครดิต,ปกติ,5
911926,60388,นิมมาน ,ตามสั่ง,2025-05-12 12:50:00,2025-05-12 13:11:36,3.73,10.7,฿121,18,28,โอนผ่านแอป,ปกติ,4
910634,60934,ช้างคลาน ,ญี่ปุ่น,25/04/2025 12:37,2025-04-25 12:59:12,2.79,11.6,฿100,18,25,โอนผ่านแอป,ปกติ,5
914426,53732,หางดง,ของหวาน,02/06/2025 11:36,2025-06-02 12:05:24,9.81,11.1,฿133,0,46,APP,ปกติ,4
900079,61828,นิมมาน,กาแฟ,22 Jun 2025 11:57,2025-06-22 12:22:12,7.13,8.8,฿53,5,32,บัตรเครดิต,ปกติ,4
908589,56305,นิมมาน,ข้าวซอย,2025-05-19 10:38:00,2025-05-19 10:58:24,6.67,15.5,฿35,0,33,โอนผ่านแอป,ปกติ,5
902298,61599,สันกำแพง,ตามสั่ง,04/06/2025 08:15,2025-06-04 08:39:12,15.55,9.9,฿158,35,64,บัตรเครดิต,ปกติ,4
906809,56130,นิมมาน,ญี่ปุ่น,27 Jun 2025 17:07,2025-06-27 17:23:06,4.25,13.1,฿108,0,29,บัตรเครดิต,ปกติ,5
920887,60095,ช้างคลาน,กาแฟ,22 Apr 2025 11:14,2025-04-22 11:35:18,1.37,13.4,฿96,0,15,โอนผ่านแอป,ปกติ,5
911819,61512,สันทราย,ญี่ปุ่น,18 Jun 2025 12:41,2025-06-18 12:59:42,1.79,6.7,฿168,0,20,บัตรเครดิต,ปกติ,5
900843,61985,ช้างคลาน,ข้าวซอย,2025-06-25 17:12:00,2025-06-25 17:33:48,2.93,12.0,฿71,0,22,วอลเล็ต,ฝนตก,5
