customer_id,signup_date,birth_year,gender,district,app_platform,notification_opt_in,churned
100001,2025-06-28,1991,ชาย,วัฒนา,iOS,True,0
100002,2024-03-01,1998,หญิง,บางกะปิ,iOS,True,0
100004,2024-05-19,2003,หญิง,บางนา,Android,True,0
100005,2024-08-16,2002,หญิง,วัฒนา,Android,True,1
100008,2025-06-24,1990,หญิง,ลาดพร้าว,Android,False,0
100009,2025-06-07,1990,หญิง,สาทร,iOS,True,0
100013,2024-05-24,2002,หญิง,บางกะปิ,Android,True,0
100014,2025-04-17,1993,ชาย,ห้วยขวาง,iOS,False,0
100015,2025-01-03,1989,หญิง,บางนา,iOS,True,0
100016,2024-03-31,2003,หญิง,จตุจักร,iOS,True,0
100017,2024-11-30,1988,ไม่ระบุ,จตุจักร,iOS,True,0
100019,2024-08-12,2000,หญิง,ลาดพร้าว,Android,False,0
100021,2024-11-16,1998,ชาย,บางนา,Android,False,0
100024,2024-09-25,2001,หญิง,บางกะปิ,Android,False,0
100030,2024-10-27,1999,หญิง,วัฒนา,Android,True,0
100033,2025-07-06,1994,หญิง,สวนหลวง,iOS,True,0
100035,2024-09-06,1994,หญิง,ลาดพร้าว,iOS,True,0
100036,2024-07-23,1989,หญิง,พญาไท,iOS,False,0
100037,2025-07-15,1988,ชาย,ลาดพร้าว,iOS,True,0
100038,2025-01-08,1995,หญิง,สาทร,Android,True,0
100039,2024-04-12,1985,ชาย,จตุจักร,Android,True,0
100040,2024-09-01,1988,ชาย,จตุจักร,Android,True,0
100041,2024-09-20,1980,หญิง,พญาไท,iOS,False,0
100042,2024-07-21,1998,หญิง,บางกะปิ,iOS,True,0
100043,2024-08-01,1992,ชาย,บางกะปิ,Android,False,1
100044,2024-09-14,2005,หญิง,ลาดพร้าว,Android,False,0
100047,2024-12-11,1995,หญิง,คลองเตย,Android,True,0
100050,2025-01-16,1995,หญิง,วัฒนา,iOS,True,1
100051,2024-01-30,1994,ชาย,จตุจักร,iOS,True,0
100052,2024-11-14,1998,ชาย,สวนหลวง,Android,False,0
100053,2024-08-08,2000,ชาย,วัฒนา,Android,True,1
100057,2024-05-15,1988,หญิง,สวนหลวง,Android,False,0
100058,2024-12-23,1981,หญิง,บางกะปิ,iOS,True,1
100059,2024-12-07,1987,หญิง,ห้วยขวาง,iOS,True,0
100062,2024-07-11,1994,ชาย,วัฒนา,iOS,True,0
100064,2024-06-06,1997,หญิง,วัฒนา,Android,True,0
100066,2024-09-09,1976,หญิง,วัฒนา,Android,True,0
100067,2024-03-07,1993,ชาย,สาทร,iOS,True,0
100068,2024-08-14,1976,ชาย,บางนา,Android,True,0
100071,2024-02-09,1997,ชาย,ดินแดง,Android,True,0
100072,2024-03-27,1997,ชาย,ลาดพร้าว,Android,True,0
100073,2024-04-07,1996,ชาย,บางรัก,Android,False,0
100074,2025-03-10,1993,ชาย,จตุจักร,iOS,True,0
100075,2024-04-26,1986,ชาย,บางนา,Android,True,1
100077,2025-03-18,1988,ไม่ระบุ,จตุจักร,Android,True,0
100079,2025-05-12,1978,ชาย,บางนา,Android,True,0
100083,2024-04-12,1983,หญิง,บางนา,iOS,True,0
100084,2024-02-08,1992,หญิง,บางนา,Android,True,0
100085,2025-04-07,1994,ชาย,ห้วยขวาง,iOS,True,0
100086,2024-08-14,1996,หญิง,จตุจักร,iOS,True,1
100087,2024-02-08,1989,หญิง,พญาไท,Android,True,0
100088,2024-10-22,2003,ชาย,บางนา,Android,True,0
100089,2024-06-21,2006,หญิง,บางนา,Android,True,0
100090,2024-04-30,2004,ชาย,จตุจักร,Android,True,0
100091,2024-06-02,1977,หญิง,บางนา,iOS,True,0
100093,2025-03-06,1988,หญิง,บางกะปิ,iOS,False,0
100094,2024-05-15,2003,ชาย,คลองเตย,iOS,True,1
100095,2024-02-25,1996,หญิง,ดินแดง,Android,True,0
100097,2024-06-26,1994,ชาย,บางนา,iOS,False,0
100099,2024-05-15,2003,หญิง,คลองเตย,Android,False,0
100100,2024-04-13,1992,ชาย,บางรัก,Android,False,1
100101,2024-05-11,1993,หญิง,ลาดพร้าว,iOS,True,0
100102,2024-11-26,1989,ชาย,บางกะปิ,iOS,False,0
100103,2025-04-03,1991,หญิง,บางรัก,iOS,True,0
100104,2024-09-21,1981,หญิง,คลองเตย,Android,False,0
100106,2024-04-09,1997,ชาย,พญาไท,Android,True,0
100111,2024-09-26,2002,ชาย,วัฒนา,Android,True,0
100112,2024-12-22,1994,หญิง,ห้วยขวาง,iOS,True,0
100114,2024-07-30,1988,หญิง,วัฒนา,Android,True,0
100115,2024-01-23,2006,หญิง,สาทร,Android,False,1
100116,2025-02-12,1981,ชาย,ห้วยขวาง,iOS,False,0
100117,2024-09-13,2002,หญิง,พญาไท,Android,True,0
100120,2024-12-08,1985,หญิง,บางนา,Android,True,0
100121,2025-03-10,1992,ชาย,วัฒนา,Android,True,0
100125,2025-04-28,1996,ชาย,ห้วยขวาง,Android,False,0
100126,2024-10-18,1989,หญิง,บางนา,Android,False,0
100127,2025-06-05,1991,หญิง,วัฒนา,Android,True,0
100133,2024-01-30,1993,ชาย,ลาดพร้าว,Android,False,0
100134,2025-02-11,1992,หญิง,ห้วยขวาง,Android,False,0
100135,2024-03-30,1992,ชาย,จตุจักร,Android,False,0
100136,2024-09-25,2000,หญิง,จตุจักร,Android,False,0
100137,2024-08-17,2000,หญิง,บางนา,Android,True,0
100145,2024-08-21,2002,หญิง,ห้วยขวาง,Android,True,0
100148,2025-03-14,2003,หญิง,ลาดพร้าว,Android,False,0
100149,2025-01-06,1988,ชาย,ลาดพร้าว,Android,True,0
100150,2024-05-21,1983,ชาย,บางนา,Android,True,0
100151,2024-09-27,1985,หญิง,ลาดพร้าว,iOS,True,0
100152,2024-08-19,1991,หญิง,สาทร,Android,True,0
100153,2024-12-25,2000,ชาย,บางกะปิ,Android,True,0
100158,2024-01-23,1985,หญิง,จตุจักร,iOS,True,0
100159,2025-03-14,1990,ชาย,วัฒนา,iOS,True,0
100160,2024-08-17,2000,ชาย,จตุจักร,iOS,True,1
100161,2024-06-08,1991,ชาย,บางนา,Android,True,1
100168,2025-03-04,1999,หญิง,บางรัก,iOS,True,0
100170,2024-03-22,1977,ชาย,ดินแดง,Android,True,0
100171,2024-05-18,1987,ชาย,ห้วยขวาง,iOS,True,1
100173,2024-10-13,2006,หญิง,ดินแดง,Android,False,0
100174,2024-03-09,1990,หญิง,วัฒนา,iOS,True,0
100178,2025-01-23,2003,หญิง,ลาดพร้าว,Android,True,0
100180,2024-03-19,1995,หญิง,จตุจักร,Android,True,0
100181,2024-06-20,1991,ชาย,สวนหลวง,iOS,True,1
100182,2024-09-02,2003,หญิง,ลาดพร้าว,iOS,True,1
100184,2025-03-30,1993,ชาย,วัฒนา,Android,True,0
100185,2025-05-18,1975,ชาย,พญาไท,Android,False,0
100187,2024-04-24,1991,ชาย,จตุจักร,iOS,True,0
100188,2024-04-10,1993,หญิง,บางกะปิ,Android,False,0
100190,2024-01-31,2003,ไม่ระบุ,สวนหลวง,Android,False,1
100191,2024-12-18,1990,หญิง,พญาไท,iOS,True,0
