order_id,customer_id,restaurant_id,rider_id,order_time,delivered_time,distance_km,subtotal,discount,delivery_fee,payment_type,district,weather
700001,167760,5343,20100,2024-11-04 18:57:00,2024-11-04 19:24:00,6.52,361.0,0.0,36.0,โอนผ่านแอป,บางกะปิ,ปกติ
700002,177756,5350,23078,2024-11-03 10:56:00,2024-11-03 11:13:54,8.23,64.0,0.0,41.0,บัตรเครดิต,จตุจักร,ปกติ
700003,171213,5162,20970,2025-04-27 11:48:00,2025-04-27 12:01:12,1.37,110.0,17.0,19.0,บัตรเครดิต,บางนา,ปกติ
700004,125194,5147,20818,2024-08-10 23:17:00,2024-08-10 23:36:06,9.39,349.0,0.0,45.0,โอนผ่านแอป,บางนา,ปกติ
700005,143203,5557,22374,2025-03-13 12:05:00,2025-03-13 12:30:00,4.92,99.0,0.0,31.0,เงินสด,ดินแดง,ปกติ
700006,157211,5263,20961,2024-12-23 11:31:00,2024-12-23 11:52:48,9.26,103.0,16.0,45.0,วอลเล็ต,ลาดพร้าว,ปกติ
700007,144239,5725,21765,2024-09-06 18:57:00,2024-09-06 19:19:36,4.03,256.0,50.0,28.0,โอนผ่านแอป,คลองเตย,ปกติ
700008,153888,5477,21090,2025-04-26 12:35:00,2025-04-26 13:07:48,5.83,89.0,14.0,42.0,วอลเล็ต,บางรัก,ฝนตก
700009,136767,5600,20074,2025-01-30 12:16:00,2025-01-30 12:43:12,5.85,84.0,0.0,34.0,บัตรเครดิต,บางนา,ปกติ
700010,171255,5441,20419,2024-12-11 11:23:00,2024-12-11 11:34:18,3.7,137.0,0.0,27.0,โอนผ่านแอป,ลาดพร้าว,ปกติ
700011,130278,6048,21143,2025-05-30 13:07:00,2025-05-30 13:39:54,8.55,124.0,0.0,42.0,วอลเล็ต,คลองเตย,ปกติ
700012,100222,5692,22071,2024-12-18 13:06:00,2024-12-18 13:33:30,5.45,196.0,16.0,32.0,โอนผ่านแอป,ดินแดง,ปกติ
700013,103139,6165,23214,2025-05-13 11:11:00,2025-05-13 11:33:48,3.13,156.0,0.0,33.0,โอนผ่านแอป,วัฒนา,ฝนตก
700014,180265,5746,23099,2025-01-25 11:14:00,2025-01-25 11:34:42,2.77,270.0,0.0,24.0,โอนผ่านแอป,วัฒนา,ปกติ
700015,177472,5748,20038,2024-08-13 23:47:00,2024-08-14 00:07:00,8.11,229.0,20.0,41.0,วอลเล็ต,สวนหลวง,ปกติ
700016,116162,5989,22506,2025-06-29 12:54:00,2025-06-29 13:20:30,1.56,234.0,0.0,20.0,โอนผ่านแอป,วัฒนา,ปกติ
700017,148919,5479,22667,2025-04-27 19:37:00,2025-04-27 20:05:54,7.7,158.0,36.0,40.0,บัตรเครดิต,วัฒนา,ปกติ
700018,155912,5533,23239,2024-10-06 14:00:00,2024-10-06 14:14:36,4.84,289.0,30.0,30.0,บัตรเครดิต,จตุจักร,ปกติ
700019,156638,5977,20887,2024-08-22 12:46:00,2024-08-22 13:16:30,6.36,218.0,0.0,35.0,โอนผ่านแอป,บางกะปิ,ปกติ
700020,100073,6022,22680,2024-08-26 20:06:00,2024-08-26 20:28:36,11.95,202.0,0.0,53.0,โอนผ่านแอป,ลาดพร้าว,ปกติ
700021,169320,5112,21256,2024-12-04 11:27:00,2024-12-04 11:46:36,3.79,948.0,0.0,27.0,โอนผ่านแอป,พญาไท,ปกติ
700022,102220,5319,22986,2025-04-24 12:27:00,2025-04-24 13:07:18,19.34,167.0,0.0,77.0,โอนผ่านแอป,บางนา,ปกติ
700023,184153,6130,21243,2025-03-20 00:25:00,2025-03-20 00:50:42,7.19,45.0,9.0,46.0,บัตรเครดิต,บางรัก,ฝนตก
700024,127308,5016,21180,2025-03-14 11:16:00,2025-03-14 11:32:24,5.92,263.0,0.0,34.0,โอนผ่านแอป,ลาดพร้าว,ปกติ
700025,120828,5470,21288,2024-10-19 19:25:00,2024-10-19 19:50:36,5.58,89.0,0.0,33.0,โอนผ่านแอป,ลาดพร้าว,ปกติ
700026,170468,5376,20954,2025-03-10 14:15:00,2025-03-10 14:41:42,8.61,277.0,0.0,51.0,โอนผ่านแอป,วัฒนา,ฝนตก
700027,108984,5499,20690,2024-12-02 20:40:00,2024-12-02 20:56:54,9.45,195.0,0.0,45.0,โอนผ่านแอป,บางกะปิ,ปกติ
700028,113914,6136,23140,2024-11-20 18:16:00,2024-11-20 18:49:06,10.41,145.0,28.0,48.0,บัตรเครดิต,พญาไท,ปกติ
700029,107324,5585,21754,2025-04-21 13:19:00,2025-04-21 13:44:12,5.95,218.0,20.0,34.0,เงินสด,สาทร,ปกติ
700030,116502,5397,22733,2024-10-31 11:22:00,2024-10-31 11:39:18,2.7,123.0,0.0,24.0,บัตรเครดิต,บางรัก,ปกติ
700031,153384,5058,20222,2024-10-25 17:03:00,2024-10-25 17:16:30,3.07,630.0,0.0,25.0,บัตรเครดิต,จตุจักร,ปกติ
700032,174678,5813,22644,2024-09-17 13:46:00,2024-09-17 14:18:54,4.53,45.0,8.0,37.0,โอนผ่านแอป,พญาไท,ฝนตก
700033,145968,5252,21190,2025-03-18 12:04:00,2025-03-18 12:31:18,6.35,84.0,11.0,35.0,โอนผ่านแอป,ดินแดง,ปกติ
700034,166872,5369,22680,2024-11-18 11:15:00,2024-11-18 11:33:54,3.71,208.0,33.0,27.0,โอนผ่านแอป,ดินแดง,ปกติ
700035,121134,5029,21311,2025-03-11 17:21:00,2025-03-11 17:45:54,11.61,306.0,0.0,52.0,บัตรเครดิต,ลาดพร้าว,ปกติ
700036,191730,5116,21788,2024-09-17 21:35:00,2024-09-17 21:46:54,4.59,104.0,0.0,30.0,เงินสด,ดินแดง,ปกติ
700037,185815,5791,20860,2025-06-29 12:18:00,2025-06-29 13:00:00,14.85,206.0,30.0,71.0,โอนผ่านแอป,ห้วยขวาง,ฝนตก
700038,110059,5205,21849,2024-10-07 14:18:00,2024-10-07 14:35:48,8.7,108.0,0.0,43.0,เงินสด,บางนา,ปกติ
700039,147082,5275,20071,2025-01-19 00:35:00,2025-01-19 00:56:24,8.63,176.0,0.0,43.0,โอนผ่านแอป,บางนา,ปกติ
700040,153470,5765,20858,2025-01-21 14:49:00,2025-01-21 15:14:42,7.32,152.0,0.0,46.0,เงินสด,ลาดพร้าว,ฝนตก
700041,138523,5513,23265,2024-11-13 18:01:00,2024-11-13 18:41:24,8.84,212.0,49.0,51.0,เงินสด,จตุจักร,ฝนตก
700042,164399,5128,23271,2025-02-09 20:35:00,2025-02-09 21:02:48,12.27,813.0,0.0,54.0,เงินสด,ห้วยขวาง,ปกติ
700043,141800,5762,21843,2024-08-14 12:15:00,2024-08-14 12:39:24,5.92,100.0,0.0,34.0,โอนผ่านแอป,จตุจักร,ปกติ
700044,146091,5061,20683,2025-05-19 11:39:00,2025-05-19 12:16:18,18.24,162.0,0.0,81.0,โอนผ่านแอป,คลองเตย,ฝนตก
700045,162782,5699,21902,2024-09-05 12:34:00,2024-09-05 12:55:54,3.63,169.0,40.0,27.0,บัตรเครดิต,วัฒนา,ปกติ
700046,185209,6127,21968,2025-02-05 18:50:00,2025-02-05 19:23:48,11.75,572.0,0.0,53.0,โอนผ่านแอป,ลาดพร้าว,ปกติ
700047,110742,5818,23400,2024-12-07 19:59:00,2024-12-07 20:22:00,3.1,337.0,0.0,25.0,โอนผ่านแอป,ลาดพร้าว,ปกติ
700048,141330,5731,20241,2025-06-11 19:39:00,2025-06-11 20:11:48,3.01,104.0,9.0,25.0,โอนผ่านแอป,สาทร,ปกติ
700049,136963,5989,23433,2024-11-23 11:55:00,2024-11-23 12:14:18,4.05,289.0,0.0,28.0,เงินสด,วัฒนา,ปกติ
700050,138014,6024,23253,2024-11-15 17:49:00,2024-11-15 18:11:18,8.98,130.0,0.0,44.0,โอนผ่านแอป,ลาดพร้าว,ปกติ
700051,125820,5909,20542,2024-09-29 18:29:00,2024-09-29 18:57:42,6.9,171.0,19.0,37.0,เงินสด,ห้วยขวาง,ปกติ
700052,188461,5002,22880,2024-09-03 12:38:00,2024-09-03 13:04:12,4.12,402.0,0.0,28.0,โอนผ่านแอป,สาทร,ปกติ
700053,159217,5313,22120,2025-03-27 12:35:00,2025-03-27 12:59:48,5.47,179.0,0.0,33.0,โอนผ่านแอป,ดินแดง,ปกติ
700054,185266,5134,22012,2025-03-01 12:14:00,2025-03-01 12:41:54,5.62,240.0,0.0,33.0,วอลเล็ต,บางนา,ปกติ
700055,159172,5148,20029,2025-07-04 12:28:00,2025-07-04 12:58:18,10.13,197.0,0.0,47.0,บัตรเครดิต,ห้วยขวาง,ปกติ
700056,125747,5361,22535,2024-08-02 01:35:00,2024-08-02 01:59:00,13.23,128.0,0.0,57.0,บัตรเครดิต,คลองเตย,ปกติ
700057,180265,6087,22917,2024-08-08 11:15:00,2024-08-08 11:25:54,2.33,67.0,0.0,22.0,เงินสด,ห้วยขวาง,ปกติ
700058,180896,5078,22337,2025-01-29 11:03:00,2025-01-29 11:26:30,2.43,84.0,0.0,31.0,เงินสด,พญาไท,ฝนตก
700059,190101,5633,20835,2024-11-27 17:53:00,2024-11-27 18:11:18,6.35,192.0,0.0,35.0,บัตรเครดิต,คลองเตย,ปกติ
700060,129351,5309,22696,2025-02-07 18:00:00,2025-02-07 18:28:36,6.61,168.0,0.0,36.0,โอนผ่านแอป,คลองเตย,ปกติ
700061,186088,6110,20565,2024-10-12 13:21:00,2024-10-12 13:50:18,6.89,217.0,46.0,37.0,โอนผ่านแอป,ห้วยขวาง,ปกติ
700062,186272,5690,22090,2024-10-27 18:51:00,2024-10-27 19:20:42,3.96,99.0,16.0,28.0,โอนผ่านแอป,วัฒนา,ปกติ
700063,182717,5074,22274,2025-07-02 18:36:00,2025-07-02 18:56:18,2.47,583.0,0.0,23.0,วอลเล็ต,จตุจักร,ปกติ
700064,136049,6066,22147,2025-06-19 12:51:00,2025-06-19 13:23:18,9.94,155.0,0.0,47.0,โอนผ่านแอป,ห้วยขวาง,ปกติ
700065,163338,6122,20897,2025-07-12 19:41:00,2025-07-12 20:03:18,4.44,471.0,69.0,29.0,โอนผ่านแอป,จตุจักร,ปกติ
700066,165270,5546,23152,2025-03-22 17:15:00,2025-03-22 17:36:00,7.04,110.0,10.0,38.0,โอนผ่านแอป,สวนหลวง,ปกติ
700067,157598,5931,23426,2024-09-22 19:16:00,2024-09-22 19:45:54,7.81,145.0,0.0,40.0,วอลเล็ต,สาทร,ปกติ
700068,187578,5581,23096,2025-04-19 17:09:00,2025-04-19 17:36:36,11.08,78.0,15.0,50.0,เงินสด,บางรัก,ปกติ
700069,162876,5799,21684,2024-09-17 22:32:00,2024-09-17 22:42:06,0.64,104.0,0.0,17.0,โอนผ่านแอป,สวนหลวง,ปกติ
700070,158420,5953,23040,2025-03-03 20:13:00,2025-03-03 20:30:48,5.44,110.0,26.0,32.0,โอนผ่านแอป,วัฒนา,ปกติ
700071,167284,5096,21545,2025-04-21 14:14:00,2025-04-21 14:30:48,7.31,236.0,24.0,38.0,โอนผ่านแอป,บางรัก,ปกติ
700072,106368,5303,23464,2025-01-09 18:50:00,2025-01-09 19:14:54,4.82,536.0,0.0,30.0,โอนผ่านแอป,ดินแดง,ปกติ
