restaurant_id,restaurant_name,cuisine,district,price_level,partner_since,avg_prep_min,open_sunday
5001,เบอร์เกอร์0001,ฟาสต์ฟู้ด,บางนา,2,2024-02-15,17.2,True
5002,ครัว0002,ตามสั่ง,สาทร,2,2022-09-10,14.0,False
5003,ครัว0003,ตามสั่ง,ห้วยขวาง,2,2024-04-14,7.0,True
5004,ซากุระ0004,ญี่ปุ่น,ลาดพร้าว,1,2022-08-20,8.8,True
5005,ครัว0005,ตามสั่ง,สาทร,2,2024-04-17,11.3,False
5006,ร้านพี่0006,กะเพรา,บางรัก,1,2023-06-23,10.2,True
5007,ส้มตำ0007,อีสาน,จตุจักร,3,2023-04-02,14.1,True
5008,ครัว0008,ตามสั่ง,สาทร,2,2022-05-06,7.0,False
5009,ครัว0009,ตามสั่ง,ลาดพร้าว,2,2023-08-09,5.3,True
5010,ย่างเนย0010,ปิ้งย่าง,ลาดพร้าว,2,2023-04-26,9.3,True
5011,ชาไทย0011,ชานม และขนม,สาทร,2,2022-05-02,8.2,False
5012,ร้านพี่0012,กะเพรา,บางนา,3,2023-08-21,9.4,True
5013,ร้านพี่0013,กะเพรา,ห้วยขวาง,2,2022-12-12,8.1,True
5014,เจ๊0014,ก๋วยเตี๋ยว,บางนา,1,2023-05-31,11.7,True
5015,ซากุระ0015,ญี่ปุ่น,บางรัก,2,2023-09-20,8.6,False
5016,โซล0016,เกาหลี,ลาดพร้าว,2,2022-10-26,8.0,True
5017,โซล0017,เกาหลี,ลาดพร้าว,2,2024-03-08,6.8,True
5018,เบอร์เกอร์0018,ฟาสต์ฟู้ด,พญาไท,2,2023-03-15,9.3,False
5019,ครัว0019,ตามสั่ง,บางรัก,1,2023-10-30,9.7,False
5020,เจ๊0020,ก๋วยเตี๋ยว,พญาไท,2,2023-02-14,13.2,False
5021,คาเฟ่0021,กาแฟ,บางรัก,1,2022-09-04,11.5,False
5022,ส้มตำ0022,อีสาน,วัฒนา,1,2024-04-07,6.0,True
5023,ส้มตำ0023,อีสาน,บางนา,1,2024-02-26,15.7,True
5024,เบอร์เกอร์0024,ฟาสต์ฟู้ด,สาทร,2,2024-06-21,7.0,False
5025,ซากุระ0025,ญี่ปุ่น,บางนา,2,2023-07-27,7.9,True
5026,ครัว0026,ตามสั่ง,บางกะปิ,1,2023-10-12,10.1,True
5027,เจ๊0027,ก๋วยเตี๋ยว,พญาไท,2,2022-06-17,14.6,False
5028,โซล0028,เกาหลี,สวนหลวง,1,2023-11-13,6.9,True
5029,ครัว0029,ตามสั่ง,ลาดพร้าว,1,2022-04-07,6.6,True
5030,ชาบู0030,สุกี้ และชาบู,คลองเตย,2,2024-04-23,5.6,False
5031,เบอร์เกอร์0031,ฟาสต์ฟู้ด,ดินแดง,2,2023-02-20,9.7,True
5032,ย่างเนย0032,ปิ้งย่าง,บางนา,2,2023-07-20,12.5,True
5033,ส้มตำ0033,อีสาน,สวนหลวง,1,2022-03-10,15.7,True
5034,ซากุระ0034,ญี่ปุ่น,พญาไท,1,2024-03-17,7.8,True
5035,ร้านพี่0035,กะเพรา,สาทร,1,2023-11-30,8.9,False
5036,ครัว0036,ตามสั่ง,ห้วยขวาง,2,2023-03-09,7.0,True
5037,ครัว0037,ตามสั่ง,บางรัก,1,2022-06-24,6.8,False
5038,ซากุระ0038,ญี่ปุ่น,บางกะปิ,3,2023-12-12,11.9,True
5039,ส้มตำ0039,อีสาน,บางกะปิ,3,2022-09-29,10.0,True
5040,คาเฟ่0040,กาแฟ,ลาดพร้าว,1,2023-03-25,7.9,False
5041,ร้านพี่0041,กะเพรา,ดินแดง,1,2022-03-12,14.5,True
5042,ร้านพี่0042,กะเพรา,ลาดพร้าว,1,2022-03-02,10.2,True
5043,ครัว0043,ตามสั่ง,จตุจักร,2,2024-03-07,16.3,True
