order_id,rating,tag,comment_len,review_time
700006,5,แพ็กดี,17,2024-12-25 06:21:48
700007,5,ส่งเร็วมาก,15,2024-09-08 12:39:36
700008,3,พอใช้,7,2025-04-27 12:33:48
700011,5,อร่อย,36,2025-05-30 22:09:54
700017,5,แพ็กดี,15,2025-04-28 01:00:54
700019,3,พอใช้,118,2024-08-22 22:25:30
700024,5,อร่อย,2,2025-03-15 22:34:24
700025,5,อร่อย,2,2024-10-20 13:29:36
700026,4,ส่งเร็วมาก,38,2025-03-11 13:07:42
700027,5,อร่อย,26,2024-12-04 18:15:54
700028,5,ส่งเร็วมาก,34,2024-11-20 19:08:06
700030,5,แพ็กดี,27,2024-10-31 23:50:18
700037,1,ได้ของผิด,76,2025-07-01 02:37:00
700049,5,อร่อย,8,2024-11-23 14:35:18
700050,4,ราคาโอเค,31,2024-11-15 19:35:18
700051,4,อร่อย,22,2024-09-30 08:02:42
700053,4,ส่งเร็วมาก,44,2025-03-29 06:49:48
700055,3,อาหารไม่ตรงปก,9,2025-07-06 11:23:18
700056,4,แพ็กดี,108,2024-08-03 07:21:00
700058,5,แพ็กดี,33,2025-01-29 18:24:30
700059,5,แพ็กดี,8,2024-11-29 04:50:18
700063,5,ไรเดอร์สุภาพ,28,2025-07-03 20:22:18
700065,4,อร่อย,15,2025-07-13 00:08:18
700066,5,ส่งเร็วมาก,35,2025-03-23 06:38:00
700067,4,อร่อย,7,2024-09-22 23:38:54
700083,4,ส่งเร็วมาก,35,2025-06-11 09:26:48
700095,4,อร่อย,158,2024-08-24 20:27:48
700097,5,แพ็กดี,29,2025-05-03 03:34:48
700098,5,แพ็กดี,8,2024-08-22 09:49:42
700100,5,ไรเดอร์สุภาพ,13,2024-11-23 16:40:42
700101,5,ส่งเร็วมาก,21,2024-08-05 04:54:12
700103,4,แพ็กดี,18,2024-12-13 23:25:18
700104,4,อร่อย,83,2024-12-22 18:27:24
700107,5,ไรเดอร์สุภาพ,20,2024-08-06 01:52:24
700108,5,แพ็กดี,7,2025-06-05 21:57:24
700113,4,ราคาโอเค,28,2025-01-20 06:52:18
700116,5,อร่อย,1,2025-06-08 19:04:54
700117,4,อร่อย,28,2024-09-20 17:33:12
700119,4,อร่อย,107,2024-08-11 08:54:12
700121,3,ราคาแพงไป,183,2024-08-17 14:28:36
700123,5,ส่งเร็วมาก,17,2024-12-25 13:03:24
700129,3,อาหารไม่ตรงปก,108,2024-12-21 14:37:24
700130,3,พอใช้,128,2025-01-29 02:01:48
700138,3,ส่งช้า,77,2025-04-19 10:17:12
700140,5,ไรเดอร์สุภาพ,13,2024-10-03 10:48:00
700154,4,อร่อย,25,2024-11-18 13:55:42
700158,5,แพ็กดี,48,2025-05-12 09:51:24
700159,5,ส่งเร็วมาก,28,2024-10-01 09:03:48
700160,3,ราคาแพงไป,42,2025-01-30 07:59:36
700162,5,อร่อย,9,2024-12-02 01:34:36
700169,3,พอใช้,38,2025-02-26 09:47:30
700179,3,ราคาแพงไป,119,2024-09-01 08:11:36
700183,3,ส่งช้า,110,2024-08-15 14:16:54
700185,4,อร่อย,32,2024-10-29 06:36:42
700186,5,แพ็กดี,14,2025-01-16 15:06:36
700199,4,อร่อย,4,2024-09-24 05:37:24
700202,3,ราคาแพงไป,10,2024-09-23 19:11:06
700203,4,ราคาโอเค,33,2024-11-02 01:00:24
700209,4,อร่อย,25,2025-06-29 09:54:24
700214,3,พอใช้,54,2024-12-15 18:39:48
700216,5,ไรเดอร์สุภาพ,5,2024-12-22 16:40:00
700217,5,ส่งเร็วมาก,40,2025-06-01 11:57:42
700223,5,ไรเดอร์สุภาพ,8,2024-10-02 16:12:42
700224,4,ราคาโอเค,23,2025-01-01 07:23:36
700225,2,อาหารเย็นแล้ว,48,2024-08-10 17:18:12
700226,5,แพ็กดี,21,2025-04-05 09:43:36
700229,2,อาหารไม่ตรงปก,105,2025-04-02 15:35:54
700230,4,ส่งเร็วมาก,112,2024-10-10 10:15:54
700231,5,ส่งเร็วมาก,18,2025-07-02 21:42:12
700236,5,ไรเดอร์สุภาพ,18,2025-05-05 16:06:06
700240,5,ไรเดอร์สุภาพ,31,2025-07-16 01:15:24
700243,5,อร่อย,27,2025-07-16 12:49:06
700246,5,อร่อย,12,2025-04-25 07:20:12
700249,3,ราคาแพงไป,10,2024-10-29 02:12:48
700251,5,อร่อย,24,2024-09-04 19:43:30
700254,4,ส่งเร็วมาก,49,2024-10-25 12:02:00
700260,2,อาหารเย็นแล้ว,173,2025-03-28 11:03:48
700261,4,อร่อย,20,2024-08-23 08:09:30
700265,3,ราคาแพงไป,16,2025-04-22 20:35:12
700268,3,พอใช้,26,2025-05-30 19:44:30
700272,2,อาหารเย็นแล้ว,80,2025-01-26 03:39:24
700276,4,แพ็กดี,74,2024-11-24 02:47:24
700279,4,อร่อย,12,2025-07-10 14:09:42
700285,5,อร่อย,32,2025-01-13 04:26:06
700286,5,ส่งเร็วมาก,19,2024-12-04 19:13:36
700291,5,แพ็กดี,38,2025-07-12 01:16:54
700293,5,อร่อย,55,2024-12-14 19:53:00
700295,4,ราคาโอเค,31,2024-11-27 17:58:54
700296,4,อร่อย,55,2024-08-27 11:05:18
700297,5,ส่งเร็วมาก,16,2024-08-12 16:53:42
700303,3,พอใช้,93,2024-12-17 20:51:54
700304,3,ราคาแพงไป,86,2025-07-16 06:59:24
700308,4,แพ็กดี,43,2024-11-15 20:15:06
700314,5,ส่งเร็วมาก,48,2024-08-16 12:38:24
700316,4,แพ็กดี,50,2024-09-11 14:57:12
700318,5,แพ็กดี,19,2025-04-17 06:16:48
700328,1,ได้ของผิด,295,2024-10-09 09:27:18
700331,4,แพ็กดี,28,2024-10-24 14:54:54
700332,4,ราคาโอเค,9,2025-05-13 13:11:30
700340,4,ส่งเร็วมาก,31,2024-09-23 16:33:36
700344,3,อาหารไม่ตรงปก,124,2025-05-09 17:34:48
700346,5,อร่อย,10,2025-06-06 18:02:06
700349,5,แพ็กดี,10,2025-03-27 14:18:18
700359,3,ส่งช้า,149,2025-04-25 13:17:24
700361,5,อร่อย,16,2024-12-13 14:26:48
700364,5,ไรเดอร์สุภาพ,66,2025-02-25 03:55:12
700368,4,อร่อย,65,2025-03-11 13:11:18
700370,5,แพ็กดี,17,2025-01-18 07:23:12
700371,2,ส่งช้า,55,2025-02-27 22:39:42
700375,3,พอใช้,64,2025-04-05 15:45:00
700376,5,ส่งเร็วมาก,19,2024-09-09 09:43:00
700378,5,ส่งเร็วมาก,4,2025-01-12 15:15:36
700380,4,แพ็กดี,47,2024-09-11 16:22:30
700383,3,พอใช้,53,2025-04-04 21:03:18
700384,3,อาหารไม่ตรงปก,68,2025-02-14 21:31:24
700385,4,ราคาโอเค,21,2024-09-21 05:29:42
700391,4,อร่อย,24,2024-12-25 08:25:18
700393,5,อร่อย,2,2025-04-01 00:57:42
700396,4,อร่อย,26,2024-11-20 16:47:54
700399,5,ไรเดอร์สุภาพ,36,2025-05-09 00:51:12
700404,5,แพ็กดี,12,2025-05-22 04:05:12
700408,5,ส่งเร็วมาก,24,2024-10-25 07:11:06
700414,5,ส่งเร็วมาก,6,2025-04-29 07:57:00
700415,4,อร่อย,50,2025-07-07 18:34:36
700418,5,อร่อย,6,2025-02-17 20:12:36
700422,5,อร่อย,51,2024-09-06 17:53:06
700425,5,ไรเดอร์สุภาพ,2,2025-01-01 02:49:48
700426,5,ส่งเร็วมาก,53,2024-08-01 12:33:24
700429,2,อาหารไม่ตรงปก,91,2024-09-05 06:48:12
700436,2,อาหารเย็นแล้ว,115,2025-01-03 12:01:18
700438,3,ส่งช้า,127,2025-03-17 04:53:36
700440,4,อร่อย,44,2025-05-04 00:11:48
