rider_id,vehicle_type,zone,join_date,rating
20001,มอเตอร์ไซค์,ห้วยขวาง,2022-11-13,4.16
20002,มอเตอร์ไซค์,ลาดพร้าว,2023-06-05,4.63
20003,มอเตอร์ไซค์,บางกะปิ,2023-10-11,4.37
20004,มอเตอร์ไซค์,คลองเตย,2024-06-19,4.31
20005,มอเตอร์ไซค์,ดินแดง,2023-05-09,4.34
20006,มอเตอร์ไซค์,จตุจักร,2022-08-20,4.46
20007,มอเตอร์ไซค์,บางนา,2023-10-11,3.91
20008,มอเตอร์ไซค์,ดินแดง,2024-03-19,4.18
20009,มอเตอร์ไซค์,บางรัก,2022-10-18,4.0
20010,มอเตอร์ไซค์,จตุจักร,2023-07-27,4.45
20011,มอเตอร์ไซค์,ห้วยขวาง,2023-03-25,4.59
20012,จักรยาน,บางกะปิ,2022-09-27,4.27
20013,มอเตอร์ไซค์,บางกะปิ,2022-12-12,4.39
20014,มอเตอร์ไซค์,บางนา,2023-03-06,3.59
20015,มอเตอร์ไซค์,วัฒนา,2022-12-25,4.45
20016,มอเตอร์ไซค์,พญาไท,2023-09-28,4.31
20017,มอเตอร์ไซค์,จตุจักร,2023-07-20,4.44
20018,จักรยาน,บางรัก,2023-06-23,4.77
20019,มอเตอร์ไซค์,ห้วยขวาง,2023-12-18,4.41
20020,มอเตอร์ไซค์,ลาดพร้าว,2023-12-05,3.88
20021,มอเตอร์ไซค์,พญาไท,2023-10-30,4.06
20022,มอเตอร์ไซค์,สาทร,2023-10-03,4.52
20023,มอเตอร์ไซค์,บางรัก,2023-11-28,4.38
20024,มอเตอร์ไซค์,วัฒนา,2024-02-03,4.51
20025,มอเตอร์ไซค์,สวนหลวง,2022-06-22,4.55
20026,มอเตอร์ไซค์,พญาไท,2024-07-14,4.42
20027,มอเตอร์ไซค์,ลาดพร้าว,2023-06-07,3.91
20028,มอเตอร์ไซค์,ลาดพร้าว,2023-06-30,3.89
20029,มอเตอร์ไซค์,ห้วยขวาง,2022-10-08,4.76
20030,มอเตอร์ไซค์,ห้วยขวาง,2024-02-28,4.11
20031,มอเตอร์ไซค์,วัฒนา,2024-02-17,4.06
20032,มอเตอร์ไซค์,สวนหลวง,2023-07-06,4.69
20033,มอเตอร์ไซค์,จตุจักร,2022-07-04,4.0
20034,มอเตอร์ไซค์,จตุจักร,2023-08-14,4.42
20035,มอเตอร์ไซค์,บางกะปิ,2023-04-17,4.41
20036,มอเตอร์ไซค์,สวนหลวง,2022-10-28,4.39
20037,มอเตอร์ไซค์,ห้วยขวาง,2022-08-02,4.93
20038,มอเตอร์ไซค์,บางรัก,2024-01-28,4.7
20039,มอเตอร์ไซค์,คลองเตย,2023-11-01,4.47
20040,มอเตอร์ไซค์,คลองเตย,2023-07-05,4.18
20041,มอเตอร์ไซค์,บางกะปิ,2023-07-21,3.83
20042,มอเตอร์ไซค์,ดินแดง,2023-03-13,4.24
20043,มอเตอร์ไซค์,วัฒนา,2022-11-05,4.49
20044,มอเตอร์ไซค์,สวนหลวง,2023-01-25,4.71
20045,มอเตอร์ไซค์,ห้วยขวาง,2022-10-05,5.0
20046,รถยนต์,จตุจักร,2023-05-15,4.15
20047,มอเตอร์ไซค์,บางนา,2024-07-05,4.55
20048,มอเตอร์ไซค์,ลาดพร้าว,2022-12-13,3.96
20049,มอเตอร์ไซค์,บางรัก,2023-09-17,4.2
20050,มอเตอร์ไซค์,วัฒนา,2023-08-01,4.17
20051,มอเตอร์ไซค์,บางนา,2024-07-11,4.45
20052,มอเตอร์ไซค์,ลาดพร้าว,2023-06-08,4.43
20053,มอเตอร์ไซค์,บางกะปิ,2023-05-12,4.4
20054,มอเตอร์ไซค์,บางนา,2024-04-29,4.74
20055,มอเตอร์ไซค์,สาทร,2023-11-13,3.95
20056,จักรยาน,สวนหลวง,2022-07-29,4.77
20057,มอเตอร์ไซค์,จตุจักร,2023-09-23,4.33
20058,มอเตอร์ไซค์,วัฒนา,2024-07-07,5.0
20059,มอเตอร์ไซค์,ดินแดง,2023-01-02,4.86
20060,รถยนต์,บางรัก,2022-10-06,4.6
20061,มอเตอร์ไซค์,คลองเตย,2022-06-18,4.34
20062,มอเตอร์ไซค์,ลาดพร้าว,2022-08-26,3.7
20063,มอเตอร์ไซค์,บางกะปิ,2022-10-01,4.58
20064,มอเตอร์ไซค์,บางนา,2023-07-08,4.75
20065,มอเตอร์ไซค์,ลาดพร้าว,2023-04-07,4.24
20066,มอเตอร์ไซค์,สาทร,2022-11-14,4.9
20067,จักรยาน,ห้วยขวาง,2023-04-18,4.21
20068,มอเตอร์ไซค์,ห้วยขวาง,2022-11-08,4.41
20069,มอเตอร์ไซค์,บางนา,2023-03-08,4.51
20070,จักรยาน,บางกะปิ,2022-12-30,4.67
20071,มอเตอร์ไซค์,บางนา,2024-06-14,3.62
20072,มอเตอร์ไซค์,สวนหลวง,2023-08-07,4.84
20073,มอเตอร์ไซค์,บางนา,2023-12-20,4.33
20074,มอเตอร์ไซค์,บางนา,2022-11-22,4.38
20075,มอเตอร์ไซค์,บางนา,2022-12-29,4.96
20076,จักรยาน,ห้วยขวาง,2023-06-20,3.99
20077,มอเตอร์ไซค์,คลองเตย,2022-10-05,4.99
20078,มอเตอร์ไซค์,ห้วยขวาง,2022-12-11,4.48
20079,มอเตอร์ไซค์,ห้วยขวาง,2023-10-10,4.3
20080,มอเตอร์ไซค์,ลาดพร้าว,2023-12-10,3.96
20081,มอเตอร์ไซค์,ลาดพร้าว,2023-08-22,4.08
20082,มอเตอร์ไซค์,วัฒนา,2022-09-19,4.49
20083,มอเตอร์ไซค์,บางนา,2022-12-28,4.6
20084,รถยนต์,พญาไท,2024-03-19,4.44
20085,รถยนต์,คลองเตย,2023-01-27,4.08
20086,มอเตอร์ไซค์,บางนา,2023-10-01,4.3
20087,มอเตอร์ไซค์,พญาไท,2024-01-11,4.22
20088,จักรยาน,บางกะปิ,2024-03-31,4.51
20089,มอเตอร์ไซค์,บางรัก,2023-04-21,4.36
